ID,value
Fund 1-Fund 2,0.7259070593774303
Fund 1-Fund 3,0.8254097782813169
Fund 1-Fund 4,0.8574492301712037
Fund 1-Fund 5,0.9012925258346093
Fund 1-Fund 6,0.5591473850655311
Fund 1-Fund 7,0.6413908523320432
Fund 1-Fund 8,0.5448391808371382
Fund 1-Fund 9,0.8419031938048063
Fund 1-Fund 10,0.8160358597787069
Fund 1-Fund 11,0.7777275495100328
Fund 1-Fund 12,0.6811804588213255
Fund 1-Fund 13,0.8598216079747434
Fund 1-Fund 14,0.9077806192896838
Fund 1-Fund 15,0.653218005873683
Fund 1-Fund 16,0.8883589160749734
Fund 1-Fund 17,0.8767948471790916
Fund 1-Fund 18,0.8680014863295519
Fund 1-Fund 19,0.8333985888686515
Fund 1-Fund 20,0.724323973094995
Fund 1-Fund 21,0.7320166914255176
Fund 1-Fund 22,0.7846106383306564
Fund 1-Fund 23,0.6046140176592955
Fund 1-Fund 24,0.7523637015102131
Fund 1-Fund 25,0.8249647710934646
Fund 1-Fund 26,0.7048604165257698
Fund 1-Fund 27,0.8280472098120204
Fund 1-Fund 28,0.9292972192297663
Fund 1-Fund 29,0.6231369839634302
Fund 1-Fund 30,0.7023958598338785
Fund 1-Fund 31,0.8600449000977863
Fund 1-Fund 32,0.8524254014909451
Fund 1-Fund 33,0.8424060626545442
Fund 1-Fund 34,0.8366544909476281
Fund 1-Fund 35,0.8370103600947607
Fund 1-Fund 36,0.5170825767730138
Fund 1-Fund 37,0.7670304164984569
Fund 1-Fund 38,0.8602794693334552
Fund 1-Fund 39,0.7612711645547297
Fund 1-Fund 40,0.822255034480822
Fund 1-Fund 41,0.8453444744532554
Fund 1-Fund 42,0.8409590947011527
Fund 1-Fund 43,0.7582770333547704
Fund 1-Fund 44,0.776388432574742
Fund 1-Fund 45,0.9050027181484178
Fund 1-Fund 46,0.7832175006109299
Fund 1-Fund 47,0.8590414098213581
Fund 1-Fund 48,0.828357264345996
Fund 1-Fund 49,0.8393799810501691
Fund 1-Fund 50,0.8466933069099248
Fund 1-Fund 51,0.8655744589097989
Fund 1-Fund 52,0.8318384412655645
Fund 1-Fund 53,0.8684764142781447
Fund 1-Fund 54,0.8967931455206668
Fund 1-Fund 55,0.7801902749215808
Fund 1-Fund 56,0.7925796941731711
Fund 1-Fund 57,0.8586435067018705
Fund 1-Fund 58,0.8879495082980621
Fund 1-Fund 59,0.8521427643308305
Fund 1-Fund 60,0.8767774562402736
Fund 1-Fund 61,0.8395701994178145
Fund 1-Fund 62,0.8453444744532554
Fund 1-Fund 63,0.8668955900725243
Fund 1-Fund 64,0.8695853838806986
Fund 1-Fund 65,0.8086209973095738
Fund 1-Fund 66,0.8656812356365983
Fund 1-Fund 67,0.8969401104424596
Fund 1-Fund 68,0.8461430997069403
Fund 1-Fund 69,0.7723964231445917
Fund 1-Fund 70,0.6127366109950795
Fund 1-Fund 71,0.6615575368162666
Fund 1-Fund 72,0.7992339661686308
Fund 1-Fund 73,0.8592617539196375
Fund 1-Fund 74,0.8592617539196375
Fund 1-Fund 75,0.8574492301712037
Fund 1-Fund 76,0.6526022933355382
